dataset,tuning,metric,model,error_rate,bias
implicit10,True,demographic_parity,FairGeneralizedLinearModel_tuned,41.8701,5.9028
implicit10,True,demographic_parity,GradualCompatibility_tuned,33.1129,8.6485
implicit10,True,demographic_parity,RejectOptionClassification_tuned,29.9384,2.9005
implicit10,True,demographic_parity,EqOddsPostprocessing_tuned,32.7479,3.3609
implicit10,True,demographic_parity,CalibratedEqOddsPostprocessing_tuned,29.4275,22.6416
implicit10,True,demographic_parity,JiangNachum_tuned,30.276,1.593
implicit10,True,demographic_parity,DPAbstention_tuned,29.961199999999995,1.6675
implicit10,True,demographic_parity,FaX_tuned,29.0353,20.5506
implicit10,True,demographic_parity,FairBayesDPP_tuned,30.0251,14.9248
implicit10,True,demographic_parity,GetFair_tuned,31.8905,4.2788
implicit20,True,demographic_parity,Reweighing_tuned,31.7332,1.5922
implicit20,True,demographic_parity,LFR_tuned,32.441,0.2974
implicit20,True,demographic_parity,DisparateImpactRemover_tuned,29.419300000000003,38.562
implicit20,True,demographic_parity,Fair-SMOTE_tuned,31.7559,1.9167
implicit20,True,demographic_parity,FairSSL-CT_tuned,32.2913,2.1057
implicit20,True,demographic_parity,FairSSL-LP_tuned,32.3366,1.5706000000000002
implicit20,True,demographic_parity,FairSSL-LS_tuned,32.1596,1.5809
implicit20,True,demographic_parity,FairSSL-ST_tuned,32.617999999999995,2.6372
implicit20,True,demographic_parity,LTDD_tuned,31.7832,2.3147
implicit20,True,demographic_parity,PrejudiceRemover_tuned,33.167,2.1821
implicit20,True,demographic_parity,SquaredDifferenceFairLogistic_tuned,30.2315,22.5833
implicit20,True,demographic_parity,FairnessConstraintModel_tuned,32.976400000000005,2.2091
implicit20,True,demographic_parity,DisparateMistreatmentModel_tuned,29.7368,27.8867
implicit20,True,demographic_parity,ConvexFrameworkModel_tuned,31.089,21.7452
implicit20,True,demographic_parity,HSICLinearRegression_tuned,33.0852,1.7459
implicit20,True,demographic_parity,GerryFairClassifier_tuned,47.5999,2.6951
implicit20,True,demographic_parity,AdversarialDebiasing_tuned,31.7786,2.3755
implicit20,True,demographic_parity,ExponentiatedGradientReduction_tuned,31.878500000000003,1.3551
implicit20,True,demographic_parity,GridSearchReduction_tuned,33.9337,14.583199999999998
implicit20,True,demographic_parity,MetaFairClassifier_tuned,33.884,10.6797
implicit20,True,demographic_parity,AdaFair_tuned,36.384,20.7775
implicit20,True,demographic_parity,FAGTB_tuned,34.8095,0.6850999999999999
implicit20,True,demographic_parity,HGR_tuned,32.608900000000006,1.0846
implicit20,True,demographic_parity,FairDummies_tuned,34.4918,2.1241
implicit20,True,demographic_parity,GeneralFairERM_tuned,40.5898,4.8945
implicit20,True,demographic_parity,MultiAdversarialDebiasing_tuned,32.5999,0.7706000000000001
implicit20,True,demographic_parity,FairGeneralizedLinearModel_tuned,31.5244,17.2928
implicit20,True,demographic_parity,GradualCompatibility_tuned,32.9673,10.9297
implicit20,True,demographic_parity,RejectOptionClassification_tuned,44.4783,4.2115
implicit20,True,demographic_parity,EqOddsPostprocessing_tuned,37.1279,4.7737
implicit20,True,demographic_parity,CalibratedEqOddsPostprocessing_tuned,29.7369,39.47239999999999
implicit20,True,demographic_parity,JiangNachum_tuned,32.6997,1.1917
implicit20,True,demographic_parity,DPAbstention_tuned,31.8965,1.6391
implicit20,True,demographic_parity,FaX_tuned,29.382800000000003,39.2474
implicit20,True,demographic_parity,FairBayesDPP_tuned,30.8938,26.1219
implicit20,True,demographic_parity,GetFair_tuned,32.754,2.7314
implicit30,True,demographic_parity,Reweighing_tuned,28.653800000000004,19.939
implicit30,True,demographic_parity,LFR_tuned,31.737900000000003,3.2489
implicit30,True,demographic_parity,DisparateImpactRemover_tuned,26.2449,54.0275
implicit30,True,demographic_parity,Fair-SMOTE_tuned,28.6809,20.0512
implicit30,True,demographic_parity,FairSSL-CT_tuned,30.8555,8.6357
implicit30,True,demographic_parity,FairSSL-LP_tuned,32.1206,3.2041
implicit30,True,demographic_parity,FairSSL-LS_tuned,31.6974,3.975
implicit30,True,demographic_parity,FairSSL-ST_tuned,29.5452,17.8985
implicit30,True,demographic_parity,LTDD_tuned,29.4552,15.9012
implicit30,True,demographic_parity,PrejudiceRemover_tuned,36.9248,2.9119
implicit30,True,demographic_parity,SquaredDifferenceFairLogistic_tuned,33.9036,13.4453
