metric,dataset,model,binarize,ignore,error_rate,bias,max_bias_gap
equalized_odds,implicit30,Reweighing,False,True,27.93786582620441,24.151732469242063,
equalized_odds,implicit30,LFR,False,True,56.68617739756866,21.696133203103205,
equalized_odds,implicit30,PFR,False,True,26.65466006303468,45.29244069345894,
equalized_odds,implicit30,FairRR,False,True,32.21521837010356,7.737536253704827,
equalized_odds,implicit30,ExponentiatedGradientReduction,False,True,34.17379558757317,1.0382844131855222,
equalized_odds,implicit30,GridSearchReduction,False,True,32.64295362449347,4.766588969631366,
equalized_odds,implicit30,FAGTB,False,True,43.98919405673121,5.601712894379962,
equalized_odds,implicit30,RejectOptionClassification,False,True,29.82890589824403,2.211086201644421,
equalized_odds,implicit30,EqOddsPostprocessing,False,True,38.65375956776227,0.9731311547005684,
equalized_odds,implicit30,CalibratedEqOddsPostprocessing,False,True,26.699684826654657,44.90805461511708,
equalized_odds,implicit30,LevEqOpp,False,True,29.761368752814043,0.9891276049379644,
equalized_odds,implicit30,JiangNachum,False,True,41.55785682125169,5.162456067243004,
equalized_odds,implicit30,Reweighing,False,False,28.680774425934263,6.274019586292074,
equalized_odds,implicit30,LFR,False,False,48.5141828005403,0.0,
equalized_odds,implicit30,PFR,False,False,26.94732102656461,47.56422519755753,
equalized_odds,implicit30,FairRR,False,False,28.38811346240432,9.26850300477994,
equalized_odds,implicit30,ExponentiatedGradientReduction,False,False,34.443944169293104,0.7050086052723226,
equalized_odds,implicit30,GridSearchReduction,False,False,32.64295362449347,4.766588969631366,
equalized_odds,implicit30,FAGTB,False,False,40.85997298514182,7.67252355366293,
equalized_odds,implicit30,RejectOptionClassification,False,False,29.78388113462405,3.292249911826693,
equalized_odds,implicit30,EqOddsPostprocessing,False,False,39.0139576767222,1.082485818216644,
equalized_odds,implicit30,CalibratedEqOddsPostprocessing,False,False,26.38451148131472,51.633651056050944,
equalized_odds,implicit30,LevEqOpp,False,False,29.82890589824403,1.1808556393511291,
equalized_odds,implicit30,JiangNachum,False,False,32.55290409725349,1.3435664010240538,
equalized_odds,social30,Reweighing,False,True,30.55492121488924,9.950800188934576,
equalized_odds,social30,LFR,False,True,49.554692852249374,0.0,
equalized_odds,social30,PFR,False,True,30.714775062799728,10.717226048477912,
equalized_odds,social30,FairRR,False,True,34.48275862068966,8.837822618267044,
equalized_odds,social30,ExponentiatedGradientReduction,False,True,44.55355103905001,5.03705770653205,
equalized_odds,social30,GridSearchReduction,False,True,31.17150034254396,10.874076658212692,
equalized_odds,social30,FAGTB,False,True,38.73030372231104,6.3174814406164845,
equalized_odds,social30,RejectOptionClassification,False,True,40.237497145467,6.096879268157762,
equalized_odds,social30,EqOddsPostprocessing,False,True,31.33135419045444,2.706407267997516,
equalized_odds,social30,CalibratedEqOddsPostprocessing,False,True,31.14866407855674,4.472373841148726,
equalized_odds,social30,LevEqOpp,False,True,30.98881023064627,13.029104195472202,
equalized_odds,social30,JiangNachum,False,True,37.56565425896324,6.21453041956726,
