,metric,ignore,dataset,model,error_rate,global
32,demographic_parity,True,communities,FairSSL-CT_tuned,21.869782971619372,15.895206243032328
33,demographic_parity,True,communities,FairSSL-LP_tuned,25.375626043405674,11.52396878483835
34,demographic_parity,True,communities,FairSSL-ST_tuned,22.03672787979967,16.21070234113713
35,demographic_parity,True,communities,GridSearchReduction_tuned,16.52754590984975,27.92865105908584
36,demographic_parity,True,communities,ExponentiatedGradientReduction_tuned,22.704507512520863,1.5540691192865108
37,demographic_parity,True,communities,FAGTB_tuned,39.56594323873121,0.0
38,demographic_parity,True,communities,RejectOptionClassification_tuned,55.92654424040067,7.694537346711261
39,demographic_parity,True,communities,EqOddsPostprocessing_tuned,22.704507512520863,18.245261984392418
40,demographic_parity,True,communities,CalibratedEqOddsPostprocessing_tuned,18.530884808013354,56.65217391304348
41,demographic_parity,True,communities,JiangNachum_tuned,29.716193656093495,2.9609810479375693
42,demographic_parity,False,communities,LFR_tuned,37.56260434056762,0.0100334448160537
43,demographic_parity,False,communities,Reweighing_tuned,17.028380634390643,23.581939799331103
44,demographic_parity,False,communities,Fair-SMOTE_tuned,17.863105175292148,29.243032329988853
45,demographic_parity,False,communities,FairSSL-LS_tuned,26.377295492487477,8.849498327759203
46,demographic_parity,False,communities,FairSSL-CT_tuned,22.704507512520863,13.562987736900778
47,demographic_parity,False,communities,FairSSL-LP_tuned,24.54090150250417,12.526198439241917
48,demographic_parity,False,communities,FairSSL-ST_tuned,22.704507512520863,14.876254180602013
49,demographic_parity,False,communities,GridSearchReduction_tuned,16.52754590984975,27.92865105908584
50,demographic_parity,False,communities,ExponentiatedGradientReduction_tuned,24.040066777963276,0.2185061315496117
51,demographic_parity,False,communities,FAGTB_tuned,27.045075125208683,10.84726867335563
52,demographic_parity,False,communities,RejectOptionClassification_tuned,36.39398998330551,6.333333333333334
53,demographic_parity,False,communities,EqOddsPostprocessing_tuned,25.375626043405674,12.904124860646604
54,demographic_parity,False,communities,CalibratedEqOddsPostprocessing_tuned,18.530884808013354,66.65217391304348
55,demographic_parity,False,communities,JiangNachum_tuned,28.046744574290486,0.9509476031215158
56,demographic_parity,True,compas_race,LFR_tuned,32.34341252699784,7.293920130761011
57,demographic_parity,True,compas_race,Reweighing_tuned,32.23542116630669,24.171064195914703
58,demographic_parity,True,compas_race,Fair-SMOTE_tuned,32.77537796976242,7.978295250175349
59,demographic_parity,True,compas_race,FairSSL-LS_tuned,32.991360691144706,8.695705768005219
60,demographic_parity,True,compas_race,FairSSL-CT_tuned,32.451403887689,3.942552921352332
61,demographic_parity,True,compas_race,FairSSL-LP_tuned,32.18142548596113,7.042579916696557
62,demographic_parity,True,compas_race,FairSSL-ST_tuned,33.47732181425485,11.062051079135804
63,demographic_parity,True,compas_race,GridSearchReduction_tuned,32.34341252699784,25.557071732423136
64,demographic_parity,True,compas_race,ExponentiatedGradientReduction_tuned,32.451403887689,1.7252367023276427
65,demographic_parity,True,compas_race,FAGTB_tuned,45.57235421166307,0.9231421594549652
66,demographic_parity,True,compas_race,RejectOptionClassification_tuned,44.97840172786177,4.064093603582615
67,demographic_parity,True,compas_race,EqOddsPostprocessing_tuned,36.23110151187905,2.602647022931253
68,demographic_parity,True,compas_race,CalibratedEqOddsPostprocessing_tuned,33.53131749460043,28.386282420607188
69,demographic_parity,True,compas_race,JiangNachum_tuned,46.05831533477321,0.5421256799683452
70,demographic_parity,False,compas_race,LFR_tuned,32.451403887689,5.606156417680841
