,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
112,demographic_parity,social10,FairSSL-LS,0.023,1.5147,0.7688
113,demographic_parity,social10,FairSSL-CT,-0.1379,5.2562,2.5592
114,demographic_parity,social10,FairSSL-LP,-0.0919,1.744,0.8261
115,demographic_parity,social10,FairSSL-ST,-0.3447,5.5655,2.6104
116,demographic_parity,social10,GridSearchReduction,-0.3676,15.7157,7.674
117,demographic_parity,social10,ExponentiatedGradientReduction,-0.1838,3.0309,1.4235
118,demographic_parity,social10,FAGTB,-0.3217,2.1037,0.891
119,demographic_parity,social10,RejectOptionClassification,0.2757,4.2484,2.2621
120,demographic_parity,social10,EqOddsPostprocessing,1.3327,-0.171,0.5809
121,demographic_parity,social10,CalibratedEqOddsPostprocessing,-1.1029,17.0379,7.9675
122,demographic_parity,social10,JiangNachum,-1.4017,-0.2727,-0.8372
123,demographic_parity,social20,LFR,3.7664,-0.0227,1.8718
124,demographic_parity,social20,Reweighing,-1.1051,9.0181,3.9565
125,demographic_parity,social20,Fair-SMOTE,-1.0149,8.4196,3.7024
126,demographic_parity,social20,FairSSL-LS,-0.0677,0.5892,0.2608
127,demographic_parity,social20,FairSSL-CT,-0.2932,5.6825,2.6946
128,demographic_parity,social20,FairSSL-LP,0.1353,1.0032,0.5693
129,demographic_parity,social20,FairSSL-ST,-1.0374,11.881,5.4218
130,demographic_parity,social20,GridSearchReduction,-2.6838,26.3996,11.8579
131,demographic_parity,social20,ExponentiatedGradientReduction,-0.1804,2.2474,1.0335
132,demographic_parity,social20,FAGTB,-0.4285,2.5939,1.0827
133,demographic_parity,social20,RejectOptionClassification,-0.2255,4.7955,2.285
134,demographic_parity,social20,EqOddsPostprocessing,1.6915,-1.3839,0.1538
135,demographic_parity,social20,CalibratedEqOddsPostprocessing,-2.5034,23.8219,10.6593
136,demographic_parity,social20,JiangNachum,0.9247,-0.282,0.3214
137,demographic_parity,social30,LFR,-12.8797,0.8191,-6.0303
138,demographic_parity,social30,Reweighing,-1.2788,11.2315,4.9763
139,demographic_parity,social30,Fair-SMOTE,-1.4844,11.7322,5.1239
140,demographic_parity,social30,FairSSL-LS,-1.1875,7.0221,2.9173
141,demographic_parity,social30,FairSSL-CT,-1.2103,8.3549,3.5723
142,demographic_parity,social30,FairSSL-LP,-1.0505,8.4051,3.6773
143,demographic_parity,social30,FairSSL-ST,-3.2199,35.5874,16.1837
144,demographic_parity,social30,GridSearchReduction,0.6623,-0.1591,0.2516
145,demographic_parity,social30,ExponentiatedGradientReduction,-0.2512,3.2404,1.4946
146,demographic_parity,social30,FAGTB,-0.6623,3.5668,1.4523
147,demographic_parity,social30,RejectOptionClassification,-0.9135,6.4927,2.7896
148,demographic_parity,social30,EqOddsPostprocessing,5.3894,-5.9992,-0.3049
149,demographic_parity,social30,CalibratedEqOddsPostprocessing,-3.7223,40.838,18.5579
150,demographic_parity,social30,JiangNachum,0.0228,-0.1737,-0.0754
151,demographic_parity,social40,LFR,5.1902,0.9331,3.0616
152,demographic_parity,social40,Reweighing,-4.1834,15.1121,5.4643
153,demographic_parity,social40,Fair-SMOTE,-3.6689,14.765,5.5481
154,demographic_parity,social40,FairSSL-LS,0.0,0.0,0.0
155,demographic_parity,social40,FairSSL-CT,-3.557,13.5174,4.9802
156,demographic_parity,social40,FairSSL-LP,0.0,0.0,0.0
157,demographic_parity,social40,FairSSL-ST,0.0,0.0,0.0
158,demographic_parity,social40,GridSearchReduction,-3.1544,10.4559,3.6508
159,demographic_parity,social40,ExponentiatedGradientReduction,-0.7606,-0.4152,-0.5879
160,demographic_parity,social40,FAGTB,-1.745,4.906,1.5805
161,demographic_parity,social40,RejectOptionClassification,-1.7002,3.7801,1.0399
162,demographic_parity,social40,EqOddsPostprocessing,8.0537,-5.9448,1.0545
163,demographic_parity,social40,CalibratedEqOddsPostprocessing,-6.5772,48.4213,20.9221
164,demographic_parity,social40,JiangNachum,5.302,-0.3975,2.4522
165,demographic_parity,social50,LFR,6.2996,-0.0884,3.1056
166,demographic_parity,social50,Reweighing,-5.2572,23.6515,9.1972
167,demographic_parity,social50,Fair-SMOTE,-5.5518,24.0458,9.247
168,demographic_parity,social50,FairSSL-LS,0.0,0.0,0.0
169,demographic_parity,social50,FairSSL-CT,-5.7557,24.2043,9.2243
170,demographic_parity,social50,FairSSL-LP,0.0,0.0,0.0
171,demographic_parity,social50,FairSSL-ST,-9.5173,49.7582,20.1204
172,demographic_parity,social50,GridSearchReduction,-5.3025,23.6547,9.1761
173,demographic_parity,social50,ExponentiatedGradientReduction,-0.8611,3.1694,1.1542
174,demographic_parity,social50,FAGTB,7.9764,11.1822,9.5793
175,demographic_parity,social50,RejectOptionClassification,-1.065,5.2309,2.0829
176,demographic_parity,social50,EqOddsPostprocessing,8.7016,-11.0594,-1.1789
177,demographic_parity,social50,CalibratedEqOddsPostprocessing,-9.9252,64.6158,27.3453
178,demographic_parity,social50,JiangNachum,6.2542,-0.6909,2.7817
179,equalized_odds,communities,Reweighing,0.8347,-5.614,-2.3896
