,metric,ignore,dataset,model,error_rate,global
462,equalized_odds,False,implicit10,FairSSL-LP,29.076396807297613,1.90308749044856
463,equalized_odds,False,implicit10,FairSSL-ST,29.555302166476622,2.311656574262069
464,equalized_odds,False,implicit10,GridSearchReduction,28.80273660205245,19.23888450655493
465,equalized_odds,False,implicit10,ExponentiatedGradientReduction,29.39566704675029,2.2123680990127683
466,equalized_odds,False,implicit10,FAGTB,37.46864310148232,3.543453219555792
467,equalized_odds,False,implicit10,RejectOptionClassification,29.258836944127708,6.239945981315792
468,equalized_odds,False,implicit10,EqOddsPostprocessing,32.17787913340935,4.232349138425951
469,equalized_odds,False,implicit10,CalibratedEqOddsPostprocessing,29.486887115165345,24.180580098308496
470,equalized_odds,False,implicit10,JiangNachum,29.714937286202968,1.7011243342671734
471,equalized_odds,True,implicit20,LFR,41.31125226860254,19.30748438907196
472,equalized_odds,True,implicit20,Reweighing,29.28765880217786,22.87024937452566
473,equalized_odds,True,implicit20,Fair-SMOTE,29.28765880217786,22.87024937452566
474,equalized_odds,True,implicit20,FairSSL-LS,31.556261343012707,0.4678601588516129
475,equalized_odds,True,implicit20,FairSSL-CT,31.10254083484574,0.454720452940871
476,equalized_odds,True,implicit20,FairSSL-LP,32.509074410163336,4.522947328371171
477,equalized_odds,True,implicit20,FairSSL-ST,32.98548094373865,8.887925033330168
478,equalized_odds,True,implicit20,GridSearchReduction,34.75499092558984,23.048116669442678
479,equalized_odds,True,implicit20,ExponentiatedGradientReduction,31.669691470054445,0.2276173790241281
480,equalized_odds,True,implicit20,FAGTB,40.3584392014519,1.9853738408988408
481,equalized_odds,True,implicit20,RejectOptionClassification,47.11887477313974,5.087319665907364
482,equalized_odds,True,implicit20,EqOddsPostprocessing,36.25226860254084,2.149844292556049
483,equalized_odds,True,implicit20,CalibratedEqOddsPostprocessing,29.582577132486392,26.145809163289517
484,equalized_odds,True,implicit20,JiangNachum,30.96642468239564,0.9604088006342908
485,equalized_odds,False,implicit20,LFR,50.43103448275862,0.6562490683191202
486,equalized_odds,False,implicit20,Reweighing,31.578947368421055,10.509067431039332
487,equalized_odds,False,implicit20,Fair-SMOTE,31.578947368421055,10.509067431039332
488,equalized_odds,False,implicit20,FairSSL-LS,32.05535390199637,9.895446622606157
489,equalized_odds,False,implicit20,FairSSL-CT,32.07803992740472,10.468472815816916
490,equalized_odds,False,implicit20,FairSSL-LP,32.57713248638838,9.81969359109095
491,equalized_odds,False,implicit20,FairSSL-ST,32.98548094373865,8.887925033330168
492,equalized_odds,False,implicit20,GridSearchReduction,28.94736842105263,32.46113841591505
493,equalized_odds,False,implicit20,ExponentiatedGradientReduction,30.852994555353902,0.5806695262272316
494,equalized_odds,False,implicit20,FAGTB,40.53992740471869,2.074269380603677
495,equalized_odds,False,implicit20,RejectOptionClassification,47.277676950998185,4.821564160971908
496,equalized_odds,False,implicit20,EqOddsPostprocessing,35.88929219600726,1.9557357771805532
497,equalized_odds,False,implicit20,CalibratedEqOddsPostprocessing,29.128856624319425,31.8249850699466
498,equalized_odds,False,implicit20,JiangNachum,30.62613430127041,2.578662237872595
499,equalized_odds,True,implicit30,LFR,54.95272399819901,19.692816277759743
500,equalized_odds,True,implicit30,Reweighing,27.937865826204415,24.151732469242063
501,equalized_odds,True,implicit30,Fair-SMOTE,27.937865826204415,24.151732469242063
502,equalized_odds,True,implicit30,FairSSL-LS,30.144079243583974,16.308848486705113
503,equalized_odds,True,implicit30,FairSSL-CT,28.005402971634396,27.332220191810364
504,equalized_odds,True,implicit30,FairSSL-LP,31.15713642503377,12.108640002446592
505,equalized_odds,True,implicit30,FairSSL-ST,27.57766771724448,28.123578178512464
506,equalized_odds,True,implicit30,GridSearchReduction,32.64295362449347,4.766588969631366
507,equalized_odds,True,implicit30,ExponentiatedGradientReduction,34.28635749662314,0.7881975256521789
508,equalized_odds,True,implicit30,FAGTB,43.98919405673121,5.601712894379962
509,equalized_odds,True,implicit30,RejectOptionClassification,29.963980189104007,3.550642727925994
510,equalized_odds,True,implicit30,EqOddsPostprocessing,38.18099954975236,1.087489232722691
511,equalized_odds,True,implicit30,CalibratedEqOddsPostprocessing,26.857271499324625,45.8730629316492
512,equalized_odds,True,implicit30,JiangNachum,41.55785682125169,5.162456067243004
513,equalized_odds,False,implicit30,LFR,48.5141828005403,0.0
514,equalized_odds,False,implicit30,Reweighing,28.68077442593426,6.274019586292074
515,equalized_odds,False,implicit30,Fair-SMOTE,28.770823953174244,6.648058788928274
516,equalized_odds,False,implicit30,FairSSL-LS,32.64295362449347,14.000419548166354
517,equalized_odds,False,implicit30,FairSSL-CT,29.356145880234124,2.516066691462722
518,equalized_odds,False,implicit30,FairSSL-LP,32.64295362449347,11.068319214306474
519,equalized_odds,False,implicit30,FairSSL-ST,29.17604682575417,5.926839757535185
520,equalized_odds,False,implicit30,GridSearchReduction,26.632147681224666,45.22224588521711
521,equalized_odds,False,implicit30,ExponentiatedGradientReduction,30.12156686177397,1.337181901087997
522,equalized_odds,False,implicit30,FAGTB,40.882485366951826,7.897519021768673
523,equalized_odds,False,implicit30,RejectOptionClassification,29.53624493471409,3.727968617952437
524,equalized_odds,False,implicit30,EqOddsPostprocessing,39.26159387663215,2.1770633342636985
525,equalized_odds,False,implicit30,CalibratedEqOddsPostprocessing,26.834759117514622,49.34886144322213
526,equalized_odds,False,implicit30,JiangNachum,32.55290409725349,1.3435664010240538
527,equalized_odds,True,implicit40,LFR,50.420359009316066,0.0
528,equalized_odds,True,implicit40,Reweighing,31.333787775505556,6.002471444795837
529,equalized_odds,True,implicit40,Fair-SMOTE,31.333787775505556,6.002471444795837
530,equalized_odds,True,implicit40,FairSSL-LS,31.515564644398992,4.871194799033493
531,equalized_odds,True,implicit40,FairSSL-CT,30.99295614633037,6.509088994972625
532,equalized_odds,True,implicit40,FairSSL-LP,31.65189729606908,1.468669459838687
533,equalized_odds,True,implicit40,FairSSL-ST,31.333787775505556,6.002471444795837
534,equalized_odds,True,implicit40,GridSearchReduction,43.26289479663713,33.394131079154626
535,equalized_odds,True,implicit40,ExponentiatedGradientReduction,32.674392183594634,1.5407583513076195
536,equalized_odds,True,implicit40,FAGTB,46.51215632810724,13.112032399018608
537,equalized_odds,True,implicit40,RejectOptionClassification,46.034992047261994,5.078125
538,equalized_odds,True,implicit40,EqOddsPostprocessing,42.74028629856851,0.9291500270283136
539,equalized_odds,True,implicit40,CalibratedEqOddsPostprocessing,25.99409225176096,66.39875495350628
540,equalized_odds,True,implicit40,JiangNachum,44.30811179277438,2.9053210619294085
541,equalized_odds,False,implicit40,LFR,49.71597364235401,0.0824140805020356
542,equalized_odds,False,implicit40,Reweighing,30.629402408543513,5.914185509950428
543,equalized_odds,False,implicit40,Fair-SMOTE,28.470802090433992,16.862203710653702
544,equalized_odds,False,implicit40,FairSSL-LS,31.924562599409228,8.386655160045049
545,equalized_odds,False,implicit40,FairSSL-CT,33.24244489888662,9.67240938804362
546,equalized_odds,False,implicit40,FairSSL-LP,32.24267211997274,9.93561788556177
547,equalized_odds,False,implicit40,FairSSL-ST,31.856396273574177,0.4155084620543398
548,equalized_odds,False,implicit40,GridSearchReduction,26.10770279481936,65.14567784951966
549,equalized_odds,False,implicit40,ExponentiatedGradientReduction,32.083617359690976,2.4602165689706803
550,equalized_odds,False,implicit40,FAGTB,40.99068393546921,6.098663766281681
551,equalized_odds,False,implicit40,RejectOptionClassification,45.23971824585321,5.33783620356037
552,equalized_odds,False,implicit40,EqOddsPostprocessing,41.51329243353783,0.7289438907471885
553,equalized_odds,False,implicit40,CalibratedEqOddsPostprocessing,26.789366053169744,59.91443809221606
554,equalized_odds,False,implicit40,JiangNachum,36.90070438536696,3.481404487007779
555,equalized_odds,True,implicit50,LFR,48.76993166287016,0.0
556,equalized_odds,True,implicit50,Reweighing,29.886104783599095,13.919503086196668
557,equalized_odds,True,implicit50,Fair-SMOTE,29.954441913439638,14.443682801938673
558,equalized_odds,True,implicit50,FairSSL-LS,30.66059225512528,9.309114598177407
559,equalized_odds,True,implicit50,FairSSL-CT,32.938496583143504,3.477848569023717
560,equalized_odds,True,implicit50,FairSSL-LP,30.842824601366743,8.42887657975249
561,equalized_odds,True,implicit50,FairSSL-ST,30.0,14.894638473964822
562,equalized_odds,True,implicit50,GridSearchReduction,30.068337129840543,13.847672713304664
563,equalized_odds,True,implicit50,ExponentiatedGradientReduction,33.4624145785877,1.8064948519642217
564,equalized_odds,True,implicit50,FAGTB,50.68337129840547,7.754518387409109
565,equalized_odds,True,implicit50,RejectOptionClassification,31.09339407744875,5.0816551949197954
566,equalized_odds,True,implicit50,EqOddsPostprocessing,44.85193621867881,1.2886913237238256
567,equalized_odds,True,implicit50,CalibratedEqOddsPostprocessing,23.21184510250569,77.04979633315449
568,equalized_odds,True,implicit50,JiangNachum,48.76993166287016,0.1311936904510758
569,equalized_odds,False,implicit50,LFR,51.23006833712984,0.0
570,equalized_odds,False,implicit50,Reweighing,32.642369020501135,5.110061915896313
571,equalized_odds,False,implicit50,Fair-SMOTE,33.14350797266515,6.757897249268435
572,equalized_odds,False,implicit50,FairSSL-LS,34.73804100227791,13.88071322474105
573,equalized_odds,False,implicit50,FairSSL-CT,36.127562642369014,20.684340149782056
574,equalized_odds,False,implicit50,FairSSL-LP,34.00911161731207,8.408461453931531
575,equalized_odds,False,implicit50,FairSSL-ST,36.605922551252846,22.39810926258596
576,equalized_odds,False,implicit50,GridSearchReduction,32.8246013667426,4.3436482681903
577,equalized_odds,False,implicit50,ExponentiatedGradientReduction,31.389521640091118,1.168072207854387
578,equalized_odds,False,implicit50,FAGTB,51.07061503416857,8.894640609063275
579,equalized_odds,False,implicit50,RejectOptionClassification,30.842824601366743,4.029439932335007
580,equalized_odds,False,implicit50,EqOddsPostprocessing,46.924829157175395,1.1437748854049552
