,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
93,demographic_parity,implicit40,FAGTB_tuned,-0.4772,-0.1259,-0.3015
94,demographic_parity,implicit40,RejectOptionClassification_tuned,0.2727,0.8834,0.578
95,demographic_parity,implicit40,EqOddsPostprocessing_tuned,0.3636,-0.3032,0.0302
96,demographic_parity,implicit40,CalibratedEqOddsPostprocessing_tuned,0.4772,-4.4038,-1.9633
97,demographic_parity,implicit40,JiangNachum_tuned,-5.3851,0.8487,-2.2682
98,demographic_parity,implicit50,LFR_tuned,-1.8907,-0.6548,-1.2727
99,demographic_parity,implicit50,Reweighing_tuned,2.7563,-16.7215,-6.9826
100,demographic_parity,implicit50,Fair-SMOTE_tuned,0.3872,-1.9591,-0.7859
101,demographic_parity,implicit50,FairSSL-LS_tuned,-0.0683,0.682,0.3068
102,demographic_parity,implicit50,FairSSL-CT_tuned,-0.0683,0.5905,0.2611
103,demographic_parity,implicit50,FairSSL-LP_tuned,0.0683,-0.5035,-0.2176
104,demographic_parity,implicit50,FairSSL-ST_tuned,-0.0228,0.2273,0.1022
105,demographic_parity,implicit50,GridSearchReduction_tuned,0.0,0.0,0.0
106,demographic_parity,implicit50,ExponentiatedGradientReduction_tuned,-0.205,-0.1364,-0.1707
107,demographic_parity,implicit50,FAGTB_tuned,-1.4123,0.9415,-0.2354
108,demographic_parity,implicit50,RejectOptionClassification_tuned,-0.1139,0.2626,0.0743
109,demographic_parity,implicit50,EqOddsPostprocessing_tuned,-3.6674,1.9269,-0.8702
110,demographic_parity,implicit50,CalibratedEqOddsPostprocessing_tuned,0.2961,-7.7003,-3.7021
111,demographic_parity,implicit50,JiangNachum_tuned,-5.9453,1.0984,-2.4235
112,demographic_parity,social10,LFR_tuned,0.0,0.0,0.0
113,demographic_parity,social10,Reweighing_tuned,-0.7583,7.3918,3.3168
114,demographic_parity,social10,Fair-SMOTE_tuned,-0.2987,1.9694,0.8354
115,demographic_parity,social10,FairSSL-LS_tuned,0.0919,-0.0919,-0.0
116,demographic_parity,social10,FairSSL-CT_tuned,-0.7812,0.8425,0.0306
117,demographic_parity,social10,FairSSL-LP_tuned,-0.0689,-0.235,-0.152
118,demographic_parity,social10,FairSSL-ST_tuned,0.023,-0.3205,-0.1488
119,demographic_parity,social10,GridSearchReduction_tuned,0.0,0.0,0.0
120,demographic_parity,social10,ExponentiatedGradientReduction_tuned,0.2528,-0.1391,0.0568
121,demographic_parity,social10,FAGTB_tuned,0.8732,0.7659,0.8195
122,demographic_parity,social10,RejectOptionClassification_tuned,-0.8732,5.837,2.4819
123,demographic_parity,social10,EqOddsPostprocessing_tuned,0.6204,0.8897,0.755
124,demographic_parity,social10,CalibratedEqOddsPostprocessing_tuned,-0.8042,14.751,6.9734
125,demographic_parity,social10,JiangNachum_tuned,0.1149,1.0061,0.5605
126,demographic_parity,social20,LFR_tuned,0.2481,-0.8557,-0.3038
127,demographic_parity,social20,Reweighing_tuned,-1.1051,9.0181,3.9565
128,demographic_parity,social20,Fair-SMOTE_tuned,0.0,0.1735,0.0867
129,demographic_parity,social20,FairSSL-LS_tuned,0.0902,-0.3645,-0.1371
130,demographic_parity,social20,FairSSL-CT_tuned,-0.0226,1.0992,0.5383
131,demographic_parity,social20,FairSSL-LP_tuned,0.2932,-0.3167,-0.0118
132,demographic_parity,social20,FairSSL-ST_tuned,-0.4285,-0.23,-0.3292
133,demographic_parity,social20,GridSearchReduction_tuned,0.0,0.0,0.0
134,demographic_parity,social20,ExponentiatedGradientReduction_tuned,-0.203,-0.492,-0.3475
135,demographic_parity,social20,FAGTB_tuned,0.4285,-0.3286,0.05
136,demographic_parity,social20,RejectOptionClassification_tuned,-0.5864,5.9502,2.6819
137,demographic_parity,social20,EqOddsPostprocessing_tuned,2.0974,-1.9097,0.0939
138,demographic_parity,social20,CalibratedEqOddsPostprocessing_tuned,-2.3681,27.8688,12.7504
139,demographic_parity,social20,JiangNachum_tuned,0.9247,-0.282,0.3214
140,demographic_parity,social30,LFR_tuned,0.0,0.0,0.0
141,demographic_parity,social30,Reweighing_tuned,-1.2788,11.2315,4.9763
142,demographic_parity,social30,Fair-SMOTE_tuned,-0.137,0.4522,0.1576
143,demographic_parity,social30,FairSSL-LS_tuned,-0.1827,0.9021,0.3597
144,demographic_parity,social30,FairSSL-CT_tuned,-0.1599,1.9487,0.8944
145,demographic_parity,social30,FairSSL-LP_tuned,0.137,-0.1885,-0.0257
146,demographic_parity,social30,FairSSL-ST_tuned,0.0913,-0.1793,-0.044
147,demographic_parity,social30,GridSearchReduction_tuned,0.0,0.0,0.0
148,demographic_parity,social30,ExponentiatedGradientReduction_tuned,-0.0685,0.2221,0.0768
149,demographic_parity,social30,FAGTB_tuned,0.8678,-0.0132,0.4273
150,demographic_parity,social30,RejectOptionClassification_tuned,-0.3425,4.662,2.1597
151,demographic_parity,social30,EqOddsPostprocessing_tuned,4.9783,-4.5411,0.2186
152,demographic_parity,social30,CalibratedEqOddsPostprocessing_tuned,-3.1514,32.8252,14.8369
153,demographic_parity,social30,JiangNachum_tuned,0.5252,0.7996,0.6624
154,demographic_parity,social40,LFR_tuned,0.7383,-2.6597,-0.9607
155,demographic_parity,social40,Reweighing_tuned,-4.1834,15.1121,5.4643
156,demographic_parity,social40,Fair-SMOTE_tuned,-0.2237,0.9863,0.3813
157,demographic_parity,social40,FairSSL-LS_tuned,0.0,0.0,0.0
158,demographic_parity,social40,FairSSL-CT_tuned,-0.4922,1.1542,0.331
159,demographic_parity,social40,FairSSL-LP_tuned,0.0,0.0,0.0
160,demographic_parity,social40,FairSSL-ST_tuned,0.0,0.0,0.0
161,demographic_parity,social40,GridSearchReduction_tuned,0.0,0.0,0.0
162,demographic_parity,social40,ExponentiatedGradientReduction_tuned,-0.2237,0.5345,0.1554
163,demographic_parity,social40,FAGTB_tuned,2.5503,0.1507,1.3505
164,demographic_parity,social40,RejectOptionClassification_tuned,-1.3199,5.307,1.9935
165,demographic_parity,social40,EqOddsPostprocessing_tuned,7.5168,-4.3363,1.5903
