,metric,binary,ignore,dataset,model,error_rate,global
116,equalized_odds,True,False,adult_data_set,Fair-SMOTE_tuned,27.97364801274162,1.7136086983886418
117,equalized_odds,True,False,adult_data_set,FairSSL-CT_tuned,24.72308694707884,0.0
118,equalized_odds,True,False,adult_data_set,FairSSL-LP_tuned,34.01867805690293,1.6632133917243046
119,equalized_odds,True,False,adult_data_set,FairSSL-LS_tuned,34.148990081807,1.8634389073833089
120,equalized_odds,True,False,adult_data_set,FairSSL-ST_tuned,33.27300369217404,2.617134468528025
121,equalized_odds,True,False,adult_data_set,GerryFairClassifier_tuned,24.69412871932238,0.0647477418837203
122,equalized_odds,True,False,adult_data_set,ExponentiatedGradientReduction_tuned,21.233620502425254,2.1983620931352985
123,equalized_odds,True,False,adult_data_set,GridSearchReduction_tuned,23.557518279881265,4.523607928863475
124,equalized_odds,True,False,adult_data_set,JiangNachum_tuned,23.571997393759503,1.225730873987363
125,equalized_odds,True,False,adult_data_set,DPAbstention_tuned,24.57829580829653,0.255338158819876
126,equalized_odds,False,True,adult_data_set,Fair-SMOTE_tuned,28.646926808079343,4.721165711442214
127,equalized_odds,False,True,adult_data_set,FairSSL-CT_tuned,24.730326504017953,0.0046659332720906
128,equalized_odds,False,True,adult_data_set,FairSSL-LP_tuned,27.70578440599435,4.473003593158645
129,equalized_odds,False,True,adult_data_set,FairSSL-LS_tuned,27.075942952291314,4.576178142551636
130,equalized_odds,False,True,adult_data_set,FairSSL-ST_tuned,29.3853616158691,5.379971311744746
131,equalized_odds,False,True,adult_data_set,ExponentiatedGradientReduction_tuned,21.69695214652863,1.2317396927306508
132,equalized_odds,False,True,adult_data_set,GridSearchReduction_tuned,23.24621733149931,3.3720643714755187
133,equalized_odds,False,True,adult_data_set,JiangNachum_tuned,21.458046767537823,2.1965334032146138
134,equalized_odds,False,False,adult_data_set,Fair-SMOTE_tuned,26.409903713892703,15.485365187376432
135,equalized_odds,False,False,adult_data_set,FairSSL-CT_tuned,24.57829580829653,1.9186164579930665
136,equalized_odds,False,False,adult_data_set,FairSSL-LP_tuned,28.71932237747049,17.416849411559987
137,equalized_odds,False,False,adult_data_set,FairSSL-LS_tuned,28.581770795627307,16.972904708398595
138,equalized_odds,False,False,adult_data_set,FairSSL-ST_tuned,27.495837254760005,16.083772031467173
139,equalized_odds,False,False,adult_data_set,GerryFairClassifier_tuned,24.69412871932238,0.0814300368781369
140,equalized_odds,False,False,adult_data_set,ExponentiatedGradientReduction_tuned,21.29877651487729,1.1939360793341591
141,equalized_odds,False,False,adult_data_set,GridSearchReduction_tuned,19.648157532759,14.41566787037818
142,equalized_odds,False,False,adult_data_set,JiangNachum_tuned,21.487004995294285,1.795283170744101
143,equalized_odds,False,False,adult_data_set,DPAbstention_tuned,23.485122710490117,2.5351506875921386
144,treatment_equality,True,True,compas,Fair-SMOTE_tuned,33.09935205183585,7.427731564808497
145,treatment_equality,True,True,compas,FairSSL-CT_tuned,35.421166306695454,7.748233407820162
146,treatment_equality,True,True,compas,FairSSL-LP_tuned,32.72138228941685,7.968055260234724
147,treatment_equality,True,True,compas,FairSSL-LS_tuned,33.261339092872575,7.734926069091228
148,treatment_equality,True,True,compas,FairSSL-ST_tuned,33.855291576673864,7.9170724257267056
149,treatment_equality,True,True,compas,ExponentiatedGradientReduction_tuned,43.08855291576673,1.4172057210260436
150,treatment_equality,True,True,compas,GridSearchReduction_tuned,36.44708423326134,3.876591976688689
151,treatment_equality,True,True,compas,JiangNachum_tuned,31.749460043196535,8.18058601739816
152,treatment_equality,True,False,compas,Fair-SMOTE_tuned,32.61339092872569,2.58739934168707
153,treatment_equality,True,False,compas,FairSSL-CT_tuned,33.09935205183585,3.877837439595322
154,treatment_equality,True,False,compas,FairSSL-LP_tuned,32.34341252699784,1.609116040388353
155,treatment_equality,True,False,compas,FairSSL-LS_tuned,33.261339092872575,3.265041990776925
156,treatment_equality,True,False,compas,FairSSL-ST_tuned,34.34125269978402,4.716936651418843
157,treatment_equality,True,False,compas,GerryFairClassifier_tuned,32.28941684665227,7.373498276202413
158,treatment_equality,True,False,compas,ExponentiatedGradientReduction_tuned,33.31533477321814,1.5092494630209938
159,treatment_equality,True,False,compas,GridSearchReduction_tuned,31.749460043196535,8.18058601739816
160,treatment_equality,True,False,compas,JiangNachum_tuned,31.749460043196535,8.18058601739816
161,treatment_equality,True,False,compas,DPAbstention_tuned,35.637149028077744,0.7868010089566044
162,treatment_equality,False,True,compas,Fair-SMOTE_tuned,33.09935205183585,7.427731564808497
163,treatment_equality,False,True,compas,FairSSL-CT_tuned,33.96328293736501,8.21797100585088
164,treatment_equality,False,True,compas,FairSSL-LP_tuned,31.857451403887694,7.640025559529093
165,treatment_equality,False,True,compas,FairSSL-LS_tuned,33.477321814254864,8.04760524779807
166,treatment_equality,False,True,compas,FairSSL-ST_tuned,34.773218142548586,7.872682965676272
167,treatment_equality,False,True,compas,ExponentiatedGradientReduction_tuned,45.3023758099352,0.2037824074041324
168,treatment_equality,False,True,compas,GridSearchReduction_tuned,33.36933045356372,4.9665753869317255
169,treatment_equality,False,True,compas,JiangNachum_tuned,31.749460043196535,8.18058601739816
170,treatment_equality,False,False,compas,Fair-SMOTE_tuned,32.77537796976242,2.2923865940867163
171,treatment_equality,False,False,compas,FairSSL-CT_tuned,33.261339092872575,4.494287835788194
172,treatment_equality,False,False,compas,FairSSL-LP_tuned,32.50539956803456,2.07965993409317
173,treatment_equality,False,False,compas,FairSSL-LS_tuned,32.93736501079914,1.120218579234973
174,treatment_equality,False,False,compas,FairSSL-ST_tuned,33.639308855291574,0.7306619238207746
175,treatment_equality,False,False,compas,GerryFairClassifier_tuned,33.639308855291574,9.055226725521669
